customer_lifetime_value,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount,customer
2763.519279,56274,69,32,5,0,1,384.811147,79786
6979.535903,0,94,13,42,0,8,1131.464935,44356
12887.43165,48767,108,18,38,0,2,566.472247,49188
7645.861827,0,106,18,65,0,7,529.881344,63253
2813.692575,43836,73,12,44,0,1,138.130879,64268
8256.2978,62902,69,14,94,0,2,159.383042,83172
5380.898636,55350,67,0,13,0,9,321.6,87318
7216.100311,0,101,0,68,0,4,363.02968,85061
24127.50402,14072,71,13,3,0,2,511.2,87989
7388.178085,28812,93,17,7,0,8,425.527834,94931
4738.992022,0,67,23,5,0,3,482.4,51350
8197.197078,0,110,27,87,0,3,528.0,65197
8798.797003,77026,110,9,82,2,3,472.029737,39365
8819.018934,99845,110,23,25,1,8,528.0,95423
5384.431665,83689,70,21,10,2,8,307.139132,66569
7463.139377,24599,64,12,50,1,2,42.920271,63560
2566.867823,25049,67,14,7,0,1,454.245098,94802
3945.241604,28855,101,12,59,0,1,647.442031,15005
5710.333115,51148,72,9,1,0,7,308.981664,83389
8162.617053,66140,101,11,21,0,3,484.8,50705
2872.051273,57749,74,31,21,0,1,355.2,25313
3041.791561,13789,79,8,49,0,1,379.2,62436
24127.50402,14072,71,13,3,0,2,511.2,23384
2450.190996,0,73,4,44,3,1,554.376763,98966
2392.10789,17870,61,30,91,0,1,439.2,55802
5802.065978,97541,72,22,1,0,3,389.185006,42516
3946.372085,0,111,15,47,0,1,799.2,89481
5346.916576,10511,139,33,64,0,1,516.237951,30839
12902.56014,86584,111,33,54,2,2,532.8,62437
3235.360468,75690,80,17,44,1,1,384.0,77678
2454.58354,23158,63,4,6,1,1,322.294043,85652
18975.45611,65999,237,1,14,0,6,615.927769,64533
4715.321344,0,65,19,56,0,3,308.15089,41800
5018.885233,54500,63,28,17,0,6,302.4,98601
4932.916345,37260,62,19,42,0,8,15.437681,67821
5744.229745,68987,71,11,40,0,6,204.475147,55495
13891.73567,42305,117,10,62,0,2,561.6,38074
7380.976717,65706,91,19,86,0,8,436.8,79012
3090.034104,0,90,7,79,0,1,648.0,61827
2521.633095,53243,66,4,15,2,1,157.397849,35801
2652.061785,0,70,7,1,1,1,484.318536,25316
2771.045031,50071,71,3,32,0,1,18.918935,98372
3939.00637,60021,99,12,28,0,1,882.871945,19217
12231.87968,43244,103,15,16,0,2,494.4,38658
2443.665166,92834,61,15,56,0,1,292.8,41343
12819.10289,10105,172,5,4,3,3,0.517753,65722
4468.510542,0,73,7,57,3,5,579.165954,27331
5514.344018,23218,71,7,10,0,4,447.79344,45289
3343.875326,0,92,11,77,0,1,529.624084,34198
2294.478927,0,62,11,56,0,1,313.023175,90947
36707.42639,24804,104,1,28,0,2,593.830288,95729
33473.34946,33190,106,18,95,0,2,508.8,51963
7983.431709,36014,69,4,40,3,2,173.956072,69909
